Konto,Kontonavn,Moms,Type
999,RESULTATOPGØRELSE,,Overskrift
102000,Boligafgift,,D
104000,"Lejeindtægter, beboelsesmål",,D
104010,Grundejernes investeringsfond,,D
104020,"Lejeindtægter, erhvervslejemål",,D
104030,"Lejeindtægter, erhvervslejemål m/moms",U25,D
106000,Vaskeri,,D
108000,"Tilskud, privat byfornyelse",,D
110000,Overtagelsesgebyrer,,D
110010,Fremlejeafgift,,D
110020,Administrationsindtægt salg af andel,,D
110990,Andre indtægter,,D
122000,Ejendomsskat,,D
122010,Ejendomsskat og renovationsafgift,,D
122020,Forsikringer,,D
124000,Vandafgift,,D
124010,Renovation,,D
124020,"Elforbrug, fællesarealer",,D
124030,Fjernvarme,,D
124990,Øvrige forbrugsafgifter,,D
126000,Viceværtsservice,,D
126010,Rengøring og vinduespolering,,D
126020,Gårdlaug,,D
126030,APV,,D
126040,Arbejdstøj,,D
126050,Lønninger (personale),,D
126070,Vejlaug,,D
126990,Øvrig renholdelse,,D
128000,Drift af vaskeri,,D
130010,Varmeanlæg,,D
130020,Låseservice,,D
130030,Elektriker,,D
130040,Tømrer og snedker,,D
130050,Blikkenslager,,D
130060,Maler,,D
130070,Glarmester og udskiftning af ruder,,D
130080,Kloakarbejde,,D
130090,VVS / blikkenslager,,D
130100,Varmemålere,,D
130110,Småanskaffelser,,D
130120,Inventar mv. (småanskaffelser),,D
130130,"Værktøj, maskiner mv. (småanskaffelser)",,D
130140,Drift af maskiner,,D
130150,Vedligeholdelse have,,D
130160,Vedligeholdelse legepladser,,D
130170,Vedligeholdelse vaskekælder,,D
130180,Gård- og haveanlæg,,D
130190,Vejreparationer,,D
130200,Rådgivning - vedligeholdelse,,D
130210,Energimærkning,,D
130220,Beboerudvalg,,D
130990,Øvrige løbende vedligeholdelse,,D
132010,Varmeanlæg,,D
132020,Udskiftning af låse og døre,,D
132030,Elektriker,,D
132040,Tømrer og snedker,,D
132050,Blikkenslager,,D
132060,Maler,,D
132070,Glarmester og udskiftning af ruder,,D
132080,Kloakarbejde,,D
132090,VVS / blikkenslager,,D
132100,Varmemåler,,D
132110,Småanskaffelser,,D
132120,Inventar mv. (småanskaffelser),,D
132130,"Værktøj, maskiner mv. (småanskaffelser)",,D
132140,Drift af maskiner,,D
132150,Vedligeholdelse have,,D
132160,Vedligeholdelse legepladser,,D
132170,Vedligeholdelse vaskekælder,,D
132180,Gård- og haveanlæg,,D
132190,Vejreparationer,,D
132200,Rådgivning - vedligeholdelse,,D
132210,Energimærkning,,D
132220,Beboerudvalg,,D
132230,Veligeholdelsesprojekter,,D
132990,"Øvrig vedligeholdelse, genopretning og renovering",,D
134000,Indvendig vedligeholdelse for lejere,,D
136000,Gårdlaugsbidrag,,D
138000,Administrationshonorar,,D
138010,"Administrationshonorar, særlig rådgivning",,D
138020,Revision og regnskabsmæssig assistance,,D
138030,Regnskabsmæssig assistance,,D
138040,"Rådgivning, revisor",,D
138050,Advokat,,D
138060,Konsulenter,,D
138070,Kontormaskiner (småanskaffelser),,D
138080,Varmeregnskabshonorar,,D
138090,Bankgebyrer,,D
138100,Øvrige gebyrer mv.,,D
138110,Kontorartikler,,D
138120,Telefon,,D
138130,Internet,,D
138140,Hjemmeside,,D
138150,Møder mv.,,D
138160,Honorar ABF,,D
138170,Repræsentation (gaver og blomster),,D
138180,Kontingenter,,D
138990,Øvrige,,D
140000,Bestyrelseshonorar og godtgørelser,,D
142000,Generalforsamling,,D
142010,Møder,,D
142020,Fester og arrangementer,,D
144000,Afskrivning inventar m.v.,,D
178000,Renteindtægter bank,,D
178001,Renteindtægter bank 2,,D
178002,Renteindtægter bank 3,,D
178003,Renteindtægter bank 4,,D
178010,Kursgevinst på årets ekstraordinære afdrag,,D
178990,Øvrige finansielle indtægter,,D
188000,Renteomkostninger bank,,D
188001,Renteomkostninger bank 2,,D
188002,Renteomkostninger bank 3,,D
188003,Renteomkostninger bank 4,,D
188010,Prioritetsrenter og bidrag,,D
188020,Betaling vedr. renteswap,,D
188030,Indeksregulering af indekslån,,D
188040,Amortisering af kurstab på obligationslån,,D
188050,"Renter, kreditorer",,D
188990,Øvrige finansielle omkostninger,,D
192000,Skat af årets resultat,,D
199999,RESULTAT EFTER SKAT,,SUM
200000,RESULTATDISPONERING,,Overskrift
202000,Overført til ”Reserveret til vedligeholdelse af ejendommen”,,R
204000,Betalte prioritetsafdrag,,R
206000,Regnskabsmæssige afskrivninger af inventar,,R
208000,Amortisering af kurstab på obligationslån,,R
210000,Indeksregulering af indekslån,,R
220000,Overført restandel af årets resultat,,R
229999,RESULTATDISPONERING I ALT,,SUM
300000,AKTIVER,,Overskrift
322350,Ejendom 1,,A
322000,Ejendom 1-Kostpris-Kostpris primo,,A
322010,Ejendom 1-Kostpris-Ændring som følge af praksisændring,,A
322020,Ejendom 1-Kostpris-Ændring som følge af valutakursregulering,,A
322030,Ejendom 1-Kostpris-Tilgang i forbindelse med fusion,,A
322040,Ejendom 1-Kostpris-Tilgang i årets løb,,A
322050,Ejendom 1-Kostpris-Afgang i årets løb,,A
322060,Ejendom 1-Kostpris-Overførsler i året til/fra andre poster,,A
322100,Ejendom 1-Opskrivninger-Opskrivninger primo,,A
322110,Ejendom 1-Opskrivninger-Ændring som følge af praksisændring,,A
322120,Ejendom 1-Opskrivninger-Ændring som følge af valutakursregulering,,A
322130,Ejendom 1-Opskrivninger-Årets opskrivninger,,A
322140,Ejendom 1-Opskrivninger-Tilbageførsel af opskrivninger på afhændede aktiver,,A
322150,Ejendom 1-Opskrivninger-Tilbageførsel af tidligere års opskrivninger,,A
322200,Ejendom 1-Af- og nedskrivninger-Af- og nedskrivninger primo,,A
322210,Ejendom 1-Af- og nedskrivninger-Ændring som følge af praksisændring,,A
322220,Ejendom 1-Af- og nedskrivninger-Ændring som følge af valutakursregulering,,A
322230,Ejendom 1-Af- og nedskrivninger-Årets afskrivninger,,A
322240,Ejendom 1-Af- og nedskrivninger-Årets nedskrivninger,,A
322250,Ejendom 1-Af- og nedskrivninger-Tilbageførsel af af- og nedskrivninger på afhændede aktiver,,A
322260,Ejendom 1-Af- og nedskrivninger-Tilbageførsel af tidligere års af- og nedskrivninger,,A
322300,Ejendom 1-Dagsværdireguleringer-Dagsværdireguleringer primo,,A
322310,Ejendom 1-Dagsværdireguleringer-Ændring som følge af praksisændring,,A
322320,Ejendom 1-Dagsværdireguleringer-Ændring som følge af valutakursregulering,,A
322330,Ejendom 1-Dagsværdireguleringer-Årets reguleringer,,A
322340,Ejendom 1-Dagsværdireguleringer-Tilbageførsel af dagsværdireguleringer på afhændede aktiver,,A
324350,Ejendom 2,,A
324000,Ejendom 2-Kostpris-Kostpris primo,,A
324010,Ejendom 2-Kostpris-Ændring som følge af praksisændring,,A
324020,Ejendom 2-Kostpris-Ændring som følge af valutakursregulering,,A
324030,Ejendom 2-Kostpris-Tilgang i forbindelse med fusion,,A
324040,Ejendom 2-Kostpris-Tilgang i årets løb,,A
324050,Ejendom 2-Kostpris-Afgang i årets løb,,A
324060,Ejendom 2-Kostpris-Overførsler i året til/fra andre poster,,A
324100,Ejendom 2-Opskrivninger-Opskrivninger primo,,A
324110,Ejendom 2-Opskrivninger-Ændring som følge af praksisændring,,A
324120,Ejendom 2-Opskrivninger-Ændring som følge af valutakursregulering,,A
324130,Ejendom 2-Opskrivninger-Årets opskrivninger,,A
324140,Ejendom 2-Opskrivninger-Tilbageførsel af opskrivninger på afhændede aktiver,,A
324150,Ejendom 2-Opskrivninger-Tilbageførsel af tidligere års opskrivninger,,A
324200,Ejendom 2-Af- og nedskrivninger-Af- og nedskrivninger primo,,A
324210,Ejendom 2-Af- og nedskrivninger-Ændring som følge af praksisændring,,A
324220,Ejendom 2-Af- og nedskrivninger-Ændring som følge af valutakursregulering,,A
324230,Ejendom 2-Af- og nedskrivninger-Årets afskrivninger,,A
324240,Ejendom 2-Af- og nedskrivninger-Årets nedskrivninger,,A
324250,Ejendom 2-Af- og nedskrivninger-Tilbageførsel af af- og nedskrivninger på afhændede aktiver,,A
324260,Ejendom 2-Af- og nedskrivninger-Tilbageførsel af tidligere års af- og nedskrivninger,,A
324300,Ejendom 2-Dagsværdireguleringer-Dagsværdireguleringer primo,,A
324310,Ejendom 2-Dagsværdireguleringer-Ændring som følge af praksisændring,,A
324320,Ejendom 2-Dagsværdireguleringer-Ændring som følge af valutakursregulering,,A
324330,Ejendom 2-Dagsværdireguleringer-Årets reguleringer,,A
324340,Ejendom 2-Dagsværdireguleringer-Tilbageførsel af dagsværdireguleringer på afhændede aktiver,,A
326350,Ejendom 3,,A
326000,Ejendom 3-Kostpris-Kostpris primo,,A
326010,Ejendom 3-Kostpris-Ændring som følge af praksisændring,,A
326020,Ejendom 3-Kostpris-Ændring som følge af valutakursregulering,,A
326030,Ejendom 3-Kostpris-Tilgang i forbindelse med fusion,,A
326040,Ejendom 3-Kostpris-Tilgang i årets løb,,A
326050,Ejendom 3-Kostpris-Afgang i årets løb,,A
326060,Ejendom 3-Kostpris-Overførsler i året til/fra andre poster,,A
326100,Ejendom 3-Opskrivninger-Opskrivninger primo,,A
326110,Ejendom 3-Opskrivninger-Ændring som følge af praksisændring,,A
326120,Ejendom 3-Opskrivninger-Ændring som følge af valutakursregulering,,A
326130,Ejendom 3-Opskrivninger-Årets opskrivninger,,A
326140,Ejendom 3-Opskrivninger-Tilbageførsel af opskrivninger på afhændede aktiver,,A
326150,Ejendom 3-Opskrivninger-Tilbageførsel af tidligere års opskrivninger,,A
326200,Ejendom 3-Af- og nedskrivninger-Af- og nedskrivninger primo,,A
326210,Ejendom 3-Af- og nedskrivninger-Ændring som følge af praksisændring,,A
326220,Ejendom 3-Af- og nedskrivninger-Ændring som følge af valutakursregulering,,A
326230,Ejendom 3-Af- og nedskrivninger-Årets afskrivninger,,A
326240,Ejendom 3-Af- og nedskrivninger-Årets nedskrivninger,,A
326250,Ejendom 3-Af- og nedskrivninger-Tilbageførsel af af- og nedskrivninger på afhændede aktiver,,A
326260,Ejendom 3-Af- og nedskrivninger-Tilbageførsel af tidligere års af- og nedskrivninger,,A
326300,Ejendom 3-Dagsværdireguleringer-Dagsværdireguleringer primo,,A
326310,Ejendom 3-Dagsværdireguleringer-Ændring som følge af praksisændring,,A
326320,Ejendom 3-Dagsværdireguleringer-Ændring som følge af valutakursregulering,,A
326330,Ejendom 3-Dagsværdireguleringer-Årets reguleringer,,A
326340,Ejendom 3-Dagsværdireguleringer-Tilbageførsel af dagsværdireguleringer på afhændede aktiver,,A
328350,"Inventar, driftsmateriel mv.",,A
328000,"Inventar, driftsmateriel mv.-Kostpris-Kostpris primo",,A
328010,"Inventar, driftsmateriel mv.-Kostpris-Ændring som følge af praksisændring",,A
328020,"Inventar, driftsmateriel mv.-Kostpris-Ændring som følge af valutakursregulering",,A
328030,"Inventar, driftsmateriel mv.-Kostpris-Tilgang i forbindelse med fusion",,A
328040,"Inventar, driftsmateriel mv.-Kostpris-Tilgang i årets løb",,A
328050,"Inventar, driftsmateriel mv.-Kostpris-Afgang i årets løb",,A
328060,"Inventar, driftsmateriel mv.-Kostpris-Overførsler i året til/fra andre poster",,A
328100,"Inventar, driftsmateriel mv.-Opskrivninger-Opskrivninger primo",,A
328110,"Inventar, driftsmateriel mv.-Opskrivninger-Ændring som følge af praksisændring",,A
328120,"Inventar, driftsmateriel mv.-Opskrivninger-Ændring som følge af valutakursregulering",,A
328130,"Inventar, driftsmateriel mv.-Opskrivninger-Årets opskrivninger",,A
328140,"Inventar, driftsmateriel mv.-Opskrivninger-Tilbageførsel af opskrivninger på afhændede aktiver",,A
328150,"Inventar, driftsmateriel mv.-Opskrivninger-Tilbageførsel af tidligere års opskrivninger",,A
328200,"Inventar, driftsmateriel mv.-Af- og nedskrivninger-Af- og nedskrivninger primo",,A
328210,"Inventar, driftsmateriel mv.-Af- og nedskrivninger-Ændring som følge af praksisændring",,A
328220,"Inventar, driftsmateriel mv.-Af- og nedskrivninger-Ændring som følge af valutakursregulering",,A
328230,"Inventar, driftsmateriel mv.-Af- og nedskrivninger-Årets afskrivninger",,A
328240,"Inventar, driftsmateriel mv.-Af- og nedskrivninger-Årets nedskrivninger",,A
328250,"Inventar, driftsmateriel mv.-Af- og nedskrivninger-Tilbageførsel af af- og nedskrivninger på afhændede aktiver",,A
328260,"Inventar, driftsmateriel mv.-Af- og nedskrivninger-Tilbageførsel af tidligere års af- og nedskrivninger",,A
328300,"Inventar, driftsmateriel mv.-Dagsværdireguleringer-Dagsværdireguleringer primo",,A
328310,"Inventar, driftsmateriel mv.-Dagsværdireguleringer-Ændring som følge af praksisændring",,A
328320,"Inventar, driftsmateriel mv.-Dagsværdireguleringer-Ændring som følge af valutakursregulering",,A
328330,"Inventar, driftsmateriel mv.-Dagsværdireguleringer-Årets reguleringer",,A
328340,"Inventar, driftsmateriel mv.-Dagsværdireguleringer-Tilbageførsel af dagsværdireguleringer på afhændede aktiver",,A
330350,Inventar,,A
330000,Inventar-Kostpris-Kostpris primo,,A
330010,Inventar-Kostpris-Ændring som følge af praksisændring,,A
330020,Inventar-Kostpris-Ændring som følge af valutakursregulering,,A
330030,Inventar-Kostpris-Tilgang i forbindelse med fusion,,A
330040,Inventar-Kostpris-Tilgang i årets løb,,A
330050,Inventar-Kostpris-Afgang i årets løb,,A
330060,Inventar-Kostpris-Overførsler i året til/fra andre poster,,A
330100,Inventar-Opskrivninger-Opskrivninger primo,,A
330110,Inventar-Opskrivninger-Ændring som følge af praksisændring,,A
330120,Inventar-Opskrivninger-Ændring som følge af valutakursregulering,,A
330130,Inventar-Opskrivninger-Årets opskrivninger,,A
330140,Inventar-Opskrivninger-Tilbageførsel af opskrivninger på afhændede aktiver,,A
330150,Inventar-Opskrivninger-Tilbageførsel af tidligere års opskrivninger,,A
330200,Inventar-Af- og nedskrivninger-Af- og nedskrivninger primo,,A
330210,Inventar-Af- og nedskrivninger-Ændring som følge af praksisændring,,A
330220,Inventar-Af- og nedskrivninger-Ændring som følge af valutakursregulering,,A
330230,Inventar-Af- og nedskrivninger-Årets afskrivninger,,A
330240,Inventar-Af- og nedskrivninger-Årets nedskrivninger,,A
330250,Inventar-Af- og nedskrivninger-Tilbageførsel af af- og nedskrivninger på afhændede aktiver,,A
330260,Inventar-Af- og nedskrivninger-Tilbageførsel af tidligere års af- og nedskrivninger,,A
330300,Inventar-Dagsværdireguleringer-Dagsværdireguleringer primo,,A
330310,Inventar-Dagsværdireguleringer-Ændring som følge af praksisændring,,A
330320,Inventar-Dagsværdireguleringer-Ændring som følge af valutakursregulering,,A
330330,Inventar-Dagsværdireguleringer-Årets reguleringer,,A
330340,Inventar-Dagsværdireguleringer-Tilbageførsel af dagsværdireguleringer på afhændede aktiver,,A
332350,Inventar,,A
332000,Inventar-Kostpris-Kostpris primo,,A
